,lats,lngs,city,country,ID,temperature,humidity,cloudiness,wind_speed,date
61,-8.887397684244547,139.27243684560494,merauke,ID,2082539,302.75,70,80,8.06,09/12/2018
62,-40.346147858680766,-122.2651227903645,rikitea,PF,4030556,296.8,98,56,6.16,09/12/2018
63,-37.346740697084684,38.22709629562266,margate,AU,2158744,292.15,39,40,9.8,09/12/2018
65,-79.88220060402429,-11.950007322118466,cape town,ZA,3369157,286.15,82,75,6.2,09/12/2018
66,-53.29540003040614,-178.04783056796157,vaini,IN,1273574,294.95,92,0,0.86,09/12/2018
67,19.44157387189057,-172.0765882899753,kapaa,US,5848280,301.11,90,75,9.8,09/12/2018
68,-67.06655895225121,138.42394157100858,hobart,AU,2163355,292.15,39,40,9.8,09/12/2018
71,-81.87299824020644,110.81176348843042,albany,US,5106834,292.57,100,90,1.5,09/12/2018
74,36.79803669710759,140.00879402224984,otawara,JP,2111325,295.15,73,75,2.6,09/12/2018
75,-50.56698430916759,-178.57411275974187,vaini,IN,1273574,294.95,92,0,0.86,09/12/2018
76,-29.905107500575852,158.20975096070805,ballina,IE,2966778,285.25,87,88,6.71,09/12/2018
78,5.063269086962862,-102.45257344116119,tecoanapa,MX,3532499,302.15,74,75,4.6,09/12/2018
79,-34.347476734648176,35.74107920744814,port shepstone,ZA,964406,290.95,93,56,5.76,09/12/2018
81,60.25068878055765,-116.26216011597147,hay river,CA,5972762,272.15,80,75,2.6,09/12/2018
82,78.33680358314501,86.56709344719394,dikson,RU,1507390,275.15,100,20,6.26,09/12/2018
83,-85.5341244506983,-135.99476443411925,rikitea,PF,4030556,296.8,98,56,6.16,09/12/2018
84,59.62084788259506,90.121724056206,yeniseysk,RU,1485997,277.774,100,48,2.56,09/12/2018
85,80.99461663081553,98.58431395543226,khatanga,RU,2022572,278.15,100,76,3.36,09/12/2018
86,-73.93198379467549,-47.93161002209061,ushuaia,AR,3833367,281.15,75,75,9.3,09/12/2018
87,89.60512709128585,94.31667999486245,khatanga,RU,2022572,278.15,100,76,3.36,09/12/2018
88,63.93385168527291,77.70751665295995,tarko-sale,RU,1490085,279.124,84,0,4.66,09/12/2018
89,78.67294308127688,27.459045013127053,mehamn,NO,778707,283.15,93,90,1,09/12/2018
90,-86.7816182068615,-69.48814305238757,ushuaia,AR,3833367,281.15,75,75,9.3,09/12/2018
91,-89.29334832030261,-5.334738855207377,hermanus,ZA,3366880,284.9,87,56,4.41,09/12/2018
92,-41.52367120789828,-77.87508070383927,ancud,CL,3899695,279.874,92,92,0.56,09/12/2018
93,-80.35075167416304,-119.18100848644407,punta arenas,CL,3874787,280.15,70,40,15.4,09/12/2018
94,84.12424361801249,165.0574909775853,pevek,RU,2122090,283.724,79,8,3.66,09/12/2018
96,9.873266084983044,-27.18051418673818,sao filipe,CV,3374210,297.974,100,88,5.01,09/12/2018
97,-24.595490498546255,142.90413878324006,mount isa,AU,2065594,306.15,13,0,5.1,09/12/2018
99,-7.478921640760561,24.5324765839581,kaniama,CD,214389,293.624,93,8,1.51,09/12/2018
100,-23.80628102802109,-143.00029495239173,mataura,NZ,6201424,289.3,50,0,9.26,09/12/2018
102,60.65768077356756,164.69422304409733,tilichiki,RU,2120591,282.274,93,92,2.81,09/12/2018
103,48.246381248267255,-50.39320586259748,torbay,CA,6167817,287.15,100,90,5.7,09/12/2018
104,6.162287031378,45.885088762127225,hobyo,SO,57000,299.574,78,0,7.76,09/12/2018
106,-53.61135336505973,-118.35242450588613,rikitea,PF,4030556,296.8,98,56,6.16,09/12/2018
107,57.25980656788698,-143.53534611549162,haines junction,CA,5969025,279.324,91,92,1.01,09/12/2018
108,-37.46289606603265,116.92990070505078,albany,US,5106834,292.57,100,90,1.5,09/12/2018
110,-46.67357691900132,-130.45337276596908,rikitea,PF,4030556,296.874,97,92,5.91,09/12/2018
111,6.8900492039744705,-113.74262670210955,san patricio,PY,3437029,292.924,85,48,1.01,09/12/2018
112,-71.82806457369445,-145.76105389717242,mataura,NZ,6201424,286.174,47,32,7.26,09/12/2018
113,-62.43970975644078,-21.465422449870175,chuy,UY,3443061,287.674,88,68,4.81,09/12/2018
114,71.69931337559976,-70.18290989867963,clyde river,CA,5924351,274.15,100,90,7.2,09/12/2018
115,-87.03630430597926,26.78630314555147,bredasdorp,ZA,1015776,286.15,71,56,3.6,09/12/2018
